Lagerstroemia indica, not metaphorical, multiword expression
Shindeshoj, not metaphorical, not multiword expression
Lithophragma parviflorum, not metaphorical, multiword expression
Abutilon vitifolium var. album, not metaphorical, multiword expression
Correa pulchella, not metaphorical, multiword expression
Echinocereus triglochidiatus, not metaphorical, multiword expression
Myoporum parvifolium, not metaphorical, multiword expression
Catalpa bignonioides, not metaphorical, multiword expression
Parnassia palustris, not metaphorical, multiword expression
Viburnum bitchiuense, not metaphorical, multiword expression
Britt Marie Crawford, not metaphorical, multiword expression
Brian’s dream, metaphorical, multiword expression
Pinus pumila, not metaphorical, multiword expression
Cordyline australis, not metaphorical, multiword expression
Kenora Superb, metaphorical, multiword expression
Red-and-green kangaroo paw, metaphorical, multiword expression
Calocedrus decurrens, not metaphorical, multiword expression
Berberis x carmine, not metaphorical, multiword expression
Semiarundinaria fastuosa, metaphorical, multiword expression
Common polypody, not metaphorical, multiword expression
Gold Edger, metaphorical, multiword expression
Goldfinger, metaphorical, not multiword expression
Thamnocalamus crassinodus, not metaphorical, multiword expression
Mexican orange, not metaphorical, multiword expression
Phyllostachys viridiglaucescens, not metaphorical, multiword expression
Echinops bannaticus, not metaphorical, multiword expression
Astilbe, not metaphorical, not multiword expression
Italian jasmine, not metaphorical, multiword expression
 Yellow hawthorn, not metaphorical, multiword expression
Silver torch, metaphorical, multiword expression
Colchicum luteum, not metaphorical, multiword expression
Columnare, metaphorical, multiword expression
Physalis alkekengi, not metaphorical, multiword expression
Rosa gallica var. officinalis, not metaphorical, multiword expression
Lampranthus spectabilis, not metaphorical, multiword expression
Athyrium niponicum var. pictum, not metaphorical, multiword expression
Helictotrichon sempervirens, not metaphorical, multiword expression
Gregor Mendel, not metaphorical, multiword expression
Medallion, not metaphorical, not multiword expression
Brugmansia arbórea, not metaphorical, multiword expression
Celosia, metaphorical, not multiword expression
Iochroma austral, not metaphorical, multiword expression
Lonicera ledebourii, not metaphorical, multiword expression
Rosemary, not metaphorical, not multiword expression
Tricolor, not metaphorical, not multiword expression
So Sweet, metaphorical, multiword expression
Pentas lanceolate, not metaphorical, multiword expression
Sydney Pearce, metaphorical, multiword expression
Deutzia, not metaphorical, not multiword expression
Japanese anemones, not metaphorical, multiword expression
Vriesea splendens, not metaphorical, multiword expression
Dracaena fragrans Deremensis, metaphorical, multiword expression
Rosa the prince’s trust, metaphorical, multiword expression
Rehmannia, not metaphorical, multiword expression
Thelypteris palustris, not metaphorical, multiword expression
Phlebodium aureum, not metaphorical, multiword expression
Gold Tau, metaphorical, multiword expression
Albomarginata, not metaphorical, not multiword expression
S. pubescens subsp. patula, not metaphorical, multiword expression
Lady Thumb, not metaphorical, multiword expression
Rubrostilla, not metaphorical, multiword expression
Crimson glory vine, metaphorical, multiword expression
Mother’s Day, metaphorical, multiword expression
Evelyn, not metaphorical, not multiword expression
Hippocrepis comosa, metaphorical, multiword expression
Salvia involucrate, metaphorical, multiword expression
Tulipa sprengeri, not metaphorical, multiword expression
Ruta graveolens, not metaphorical, multiword expression
Athyrium, not metaphorical, not multiword expression
Globosa, metaphorical, not multiword expression
Lollipops, metaphorical, not multiword expression
Dianella caerulea cassa blue, metaphorical, multiword expression
Hamburg, not metaphorical, not multiword expression
Peggy Sammons, not metaphorical, multiword expression
Quercus suber, not metaphorical, multiword expression
Butterﬂies, metaphorical, not multiword expression
Crinodendron hookerianum, not metaphorical, multiword expression
Vitis vinífera, not metaphorical, multiword expression
Drimys winteri, metaphorical, multiword expression
Peace lily, metaphorical, multiword expression
Styrax wilsonii, not metaphorical, multiword expression
Prunus lusitanica subsp. azorica, not metaphorical, multiword expression
Kennedia rubicunda, not metaphorical, multiword expression
Lilacina, not metaphorical, not multiword expression
Tickled Pink, not metaphorical, multiword expression
Schwedleri, not metaphorical, not multiword expression
Pilosocereus leucocephalus, not metaphorical, multiword expression
Adiantum venustum, not metaphorical, multiword expression
Petunia Surfinia Series, not metaphorical, multiword expression
Geum coccineum, not metaphorical, multiword expression
Drummondii, not metaphorical, not multiword expression
Browningia hertlingiana, not metaphorical, multiword expression
B. davidii, not metaphorical, multiword expression
Cider gum, metaphorical, multiword expression
Margaret Martin, not metaphorical, multiword expression
Origanum laevigatum, not metaphorical, multiword expression
Japanese horse-chestnut, metaphorical, multiword expression
Soutra, not metaphorical, not multiword expression
Purple mountain saxifrage, not metaphorical, multiword expression
Palmatiﬁdum, not metaphorical, not multiword expression
Euphorbia amygdaloides var. robbiae, not metaphorical, multiword expression
Mona Lisa, metaphorical, multiword expression
var. grandiﬂora, not metaphorical, multiword expression
Stewartia sinensis, not metaphorical, multiword expression
America, not metaphorical, not multiword expression
Erythroblastos, not metaphorical, not multiword expression
Rhodiola, not metaphorical, not multiword expression
Eucryphia x nymansensis, not metaphorical, multiword expression
Watsonia meriana, not metaphorical, multiword expression
Summershade, metaphorical, not multiword expression
Achillea filipendulina, not metaphorical, multiword expression
Teddy bear, metaphorical, multiword expression
Asarum europaeum, not metaphorical, multiword expression
Alpine thistle, not metaphorical, multiword expression
Aloysia triphylla, not metaphorical, multiword expression
Garrya elliptica, metaphorical, multiword expression
Holden clough, metaphorical, multiword expression
Baumannii, not metaphorical, not multiword expression
Onosma alborosea, not metaphorical, multiword expression
Sorrel tree, not metaphorical, multiword expression
Salvia sclarea var. turkestanica, not metaphorical, multiword expression
Australian pea, not metaphorical, multiword expression
Bergenia purpurascens, not metaphorical, multiword expression
Justicia brandegeeana, metaphorical, multiword expression
Crocus, not metaphorical, not multiword expression
Sugar Daddy, metaphorical, multiword expression
Evergold, metaphorical, not multiword expression
Laura Dessert, metaphorical, multiword expression
Draba longisiliqua, not metaphorical, multiword expression
Franz Kafka, not metaphorical, multiword expression
Pleione bulbocodioides, not metaphorical, multiword expression
Tripterygium regelii, not metaphorical, multiword expression
Purple Petticoats, not metaphorical, multiword expression
Hillcrest Jessica, not metaphorical, multiword expression
Nerine bowdenii f. alba, not metaphorical, multiword expression
Ranunculus ﬁcaria Flore Pleno Group, not metaphorical, multiword expression
Paphiopedilum armeniacum, not metaphorical, multiword expression
Dionysia aretioides, not metaphorical, multiword expression
Sapindaceae, not metaphorical, not multiword expression
Corylopsis pauciflora, not metaphorical, multiword expression
Sanguisorba tenuifolia, not metaphorical, multiword expression
Common jasmine, not metaphorical, multiword expression
Gomphrena globosa, metaphorical, multiword expression
Chiastophyllum oppositifolium, not metaphorical, multiword expression
Gonnère, not metaphorical, not multiword expression
Mexican fan palm, metaphorical, multiword expression
Cryptogramma crispa, not metaphorical, multiword expression
Helianthus, not metaphorical, not multiword expression
Mrs. Kendall Clark, not metaphorical, multiword expression
Anemonella thalictroides, not metaphorical, multiword expression
Alexandra palm, metaphorical, multiword expression
Verbascum, not metaphorical, not multiword expression
Rum Punch, metaphorical, multiword expression
Epimedium epsteinii, not metaphorical, multiword expression
Dianthus deltoides, not metaphorical, multiword expression
Lemoinei, not metaphorical, not multiword expression
Verbascum olympicum, not metaphorical, multiword expression
Smilacina racemosa, not metaphorical, multiword expression
Happy Thought, metaphorical, multiword expression
Green Goddess, metaphorical, multiword expression
Luzula nivea, metaphorical, multiword expression
Hippeastru, not metaphorical, not multiword expression
Lorbergii, not metaphorical, not multiword expression
Quercus petraea, not metaphorical, multiword expression
Schefﬂera elegantissima, metaphorical, multiword expression
Laurentii, not metaphorical, not multiword expression
Kelway’s Fairy Queen, metaphorical, multiword expression
Scotch laburnum, not metaphorical, multiword expression
Compactum,  not metaphorical, not multiword expression
English cottage, metaphorical, multiword expression
Beethoven, metaphorical, not multiword expression
Hebe vernicosa, not metaphorical, multiword expression
Grayswood, metaphorical, not multiword expression
Pontederia cordata, not metaphorical, multiword expression
Little Wonder, metaphorical, multiword expression
Quercus garryana, not metaphorical, multiword expression
Gainsborough, not metaphorical, not multiword expression
Leucophyta brownie, metaphorical, multiword expression
Coronation Gold, metaphorical, multiword expression
Peruvian old-man cactus, metaphorical, multiword expression
Arenaria tetraquetra, not metaphorical, multiword expression
Lithops karasmontana, not metaphorical, multiword expression
Tom Pouce, not metaphorical, multiword expression
Muscari, not metaphorical, not multiword expression
Wisteria, not metaphorical, not multiword expression
False indigo, metaphorical, multiword expression
Sissinghurst White, not metaphorical, multiword expression
Populus, not metaphorical, not multiword expression
Amberboa moschata, not metaphorical, multiword expression
Golden Charmer, metaphorical, multiword expression
Asarina procumbens, not metaphorical, multiword expression
Hydon Sunset, metaphorical, multiword expression
Sempervivum ciliosum, not metaphorical, multiword expression
Peanut cactus, not metaphorical, multiword expression
Evka, not metaphorical, not multiword expression
Solidago, not metaphorical, not multiword expression
Araceae, not metaphorical, not multiword expression
Emerald ’n’ Gold, metaphorical, multiword expression
Anthurium crystallinum, not metaphorical, multiword expression
Arbutus andrachne, not metaphorical, multiword expression
Populus tremula, not metaphorical, multiword expression
Arbutus unedo, not metaphorical, multiword expression
Picrasma quassioides, not metaphorical, multiword expression
Paronychia kapela, not metaphorical, multiword expression
Arctic birch, metaphorical, multiword expression
Ostfriesland, not metaphorical, not multiword expression
Cassinia leptophylla, not metaphorical, multiword expression
Xanthophthalmum segetum, not metaphorical, multiword expression
George Grifﬁths, not metaphorical, multiword expression
Osteomeles schweriniae, not metaphorical, multiword expression
Froyle Mill, not metaphorical, multiword expression
Chromatella, not metaphorical, multiword expression
Mount Etna broom, metaphorical, multiword expression
Rhaphiolepis umbellate, not metaphorical, multiword expression
Lablab purpureus, not metaphorical, multiword expression
Leucopogon colensoi, not metaphorical, multiword expression
Hypoestes phyllostachya, not metaphorical, multiword expression
Cherry Ingram, metaphorical, multiword expression
Inky fingers, metaphorical, multiword expression
Jungle Beauty, metaphorical, multiword expression
Mandaianum, not metaphorical, not multiword expression
Fishbone cactus, not metaphorical, multiword expression
Golden Cross, metaphorical, multiword expression
Rhapis excelsa, metaphorical, multiword expression
Bergenia ciliate, not metaphorical, multiword expression
Chamaecyparis pisifera, not metaphorical, multiword expression
Filifera Aurea, metaphorical, multiword expression
Arthur Simmonds, not metaphorical, multiword expression
Pin oak, not metaphorical, multiword expression
Ourisia caespitosa, not metaphorical, multiword expression
Carex ﬂagellifera, not metaphorical, multiword expression
Brigadier, metaphorical, not multiword expression
M. x brooklynensis, not metaphorical, multiword expression
White sails, metaphorical, multiword expression
Chinese horse-chestnut, metaphorical, multiword expression
Epipremnum aureum, not metaphorical, multiword expression
Allium neapolitanum Cowanii Group, not metaphorical, multiword expression
Chamaecyparis nootkatensis, not metaphorical, multiword expression
Empress tree, metaphorical, multiword expression
Quercus ellipsoidalis, not metaphorical, multiword expression
Rhodanthe Carneum, not metaphorical, multiword expression
Smidtii, not metaphorical, not multiword expression
Atriplex halimus, not metaphorical, multiword expression
Mimulus, not metaphorical, not multiword expression
Balazdapima, not metaphorical, not multiword expression
Aeschynanthus speciosus, not metaphorical, multiword expression
Parahebe lyallii, not metaphorical, multiword expression
Mocha Scarlet, not metaphorical, multiword expression
Cape sundew, not metaphorical, multiword expression
Lesser periwinkle, not metaphorical, multiword expression
Enkianthus cernuus, not metaphorical, multiword expression
Pink Jewel, metaphorical, multiword expression
Agrostemma, not metaphorical, not multiword expression
x Chionoscilla allenii, not metaphorical, multiword expression
Crataegus orientalis, not metaphorical, multiword expression
Cotswold beauty, metaphorical, multiword expression
Wintertime, not metaphorical, not multiword expression
Acer davidii, not metaphorical, multiword expression
Campsis x tagliabuana, not metaphorical, multiword expression
Dracaena draco, not metaphorical, multiword expression
Red spider, metaphorical, multiword expression
Anthericum liliago, not metaphorical, multiword expression
Mimicry plant, not metaphorical, multiword expression
Star ﬂower, metaphorical, multiword expression
Platycodon grandiflorus, not metaphorical, multiword expression
Pennisetum villosum, not metaphorical, multiword expression
Darwin’s barberry, not metaphorical, multiword expression
Phlox stolonifera, not metaphorical, multiword expression
Picea omorika, not metaphorical, multiword expression
Oxalis enneaphylla, not metaphorical, multiword expression
Mary’s thistle, not metaphorical, multiword expression
Giant pineapple, metaphorical, multiword expression
Mitraria coccinea, not metaphorical, multiword expression
Lucky honey blush, metaphorical, multiword expression
Woodland Walk, metaphorical, multiword expression
Rose Arey, not metaphorical, multiword expression
Cassiope mertensiana, not metaphorical, multiword expression
Agapetes, not metaphorical, not multiword expression
Gaillardia, not metaphorical, not multiword expression
J.S. Baker, not metaphorical, multiword expression
Patty Bbee, metaphorical, multiword expression
Loiseleuria procumbens, not metaphorical, multiword expression
Bowles’s black, metaphorical, multiword expression
Russian River, metaphorical, multiword expression
Peltandra virginica, metaphorical, multiword expression
Billardiera longiflora, not metaphorical, multiword expression
Delphinium grandiflorum, metaphorical, multiword expression
Ruby Port, metaphorical, multiword expression
Ficus elastica, metaphorical, multiword expression
Citrinum, metaphorical, not multiword expression
Snowﬂake, metaphorical, not multiword expression
Tillandsia argéntea, not metaphorical, multiword expression
Red Army, metaphorical, multiword expression
Shallon, not metaphorical, not multiword expression
Trollius pumilus, not metaphorical, multiword expression
Phaedranassa carmioli, not metaphorical, multiword expression
Lady’s mantle, metaphorical, multiword expression
Zephyranthes carinata, not metaphorical, multiword expression
Vindictive, metaphorical, not multiword expression
Arbutus x andrachnoides, not metaphorical, multiword expression
Laelia anceps, not metaphorical, multiword expression
Lady Madonna, not metaphorical, multiword expression
Coreopsis, not metaphorical, not multiword expression
Ancot, not metaphorical, not multiword expression
Inspiration, metaphorical, not multiword expression
Euphorbia schillingii, not metaphorical, multiword expression
Celastrus scandens, not metaphorical, multiword expression
Phlox divaricata subsp. laphamii, not metaphorical, multiword expression
Henri Martin, not metaphorical, multiword expression
Leontopodium, metaphorical, not multiword expression
Spicebush, not metaphorical, not multiword expression
Cotoneaster, not metaphorical, not multiword expression
Grace Seabrook, metaphorical, multiword expression
Papaver burseri, not metaphorical, multiword expression
Weeping beech, metaphorical, multiword expression
Cruciferae, metaphorical, not multiword expression
Graptopetalum paraguayense, not metaphorical, multiword expression
Calomeria amaranthoides, not metaphorical, multiword expression
Deutzia x elegantissima, metaphorical, multiword expression
Bird’s-foot violet, metaphorical, multiword expression
Persicaria macrophylla, not metaphorical, multiword expression
Pipit, not metaphorical, not multiword expression
Alpine anemone, not metaphorical, multiword expression
Nymphaea, not metaphorical, not multiword expression
Brilliantissimum, metaphorical, not multiword expression
Sango-kaku, not metaphorical, multiword expression
Prunus, not metaphorical, not multiword expression
Solidago x luteus, not metaphorical, multiword expression
Celastrus orbiculatus, not metaphorical, multiword expression
Aureum, metaphorical, not multiword expression
Boule d’Argentm, metaphorical, multiword expression
Erythronium californicum, not metaphorical, multiword expression
Eupatorium maculatum Atropurpureum, not metaphorical, multiword expression
Peach Blossom, not metaphorical, multiword expression
Foxtail barley, metaphorical, multiword expression
Cotoneaster horizontalis, not metaphorical, multiword expression
Bridal crown, metaphorical, multiword expression
Salvia farinacea, not metaphorical, multiword expression
Emperor of China, metaphorical, multiword expression
Carmine blush, metaphorical, multiword expression
Cherry Holley, not metaphorical, multiword expression
Passiﬂora quadrangularis, not metaphorical, multiword expression
Bloodﬂower, metaphorical, not multiword expression
String-of-hearts, metaphorical, multiword expression
Trileaf Wonder, metaphorical, multiword expression
Cowichan, not metaphorical, not multiword expression
Lysimachia congestiflora, not metaphorical, multiword expression
Cytisus x spachianus, not metaphorical, multiword expression
Prunus x subhirtella, metaphorical, multiword expression
Pleiospilos compactus, not metaphorical, multiword expression
Cyclamen coum, not metaphorical, multiword expression
Nicola, not metaphorical, not multiword expression
Belarina pink ice, metaphorical, multiword expression
Sonnenschein, metaphorical, not multiword expression
Snow, metaphorical, not multiword expression
Aztec silver magic, metaphorical, multiword expression
White Ballet, metaphorical, multiword expression
Obelisk, not metaphorical, not multiword expression
Petchoa Supercal, not metaphorical, multiword expression
Cortaderia richardii, not metaphorical, multiword expression
Hedychium thyrsiforme, not metaphorical, multiword expression
Aussaucer, not metaphorical, not multiword expression
Erica, metaphorical, not multiword expression
Foliis Variegatis, not metaphorical, multiword expression
Lysichiton camtschatcensis, not metaphorical, multiword expression
Silver vine, metaphorical, multiword expression
Birchwood Parky’s Gold, metaphorical, multiword expression
Papillon, not metaphorical, not multiword expression
Brachyglottis monroi, not metaphorical, multiword expression
Salvia officinalis, not metaphorical, multiword expression
Green Pillow, metaphorical, multiword expression
Allium karataviense, not metaphorical, multiword expression
Sidalcea, not metaphorical, not multiword expression
Stigmaphyllon ciliatum, not metaphorical, multiword expression
Polypodium vulgare, not metaphorical, multiword expression
Prichard’s Variety, not metaphorical, multiword expression
Hebe recurve, not metaphorical, multiword expression
Euphorbia polychrome, not metaphorical, multiword expression
Hedychium gardnerianum, not metaphorical, multiword expression
Queensland umbrella tree, metaphorical, multiword expression
Jacquemontii, not metaphorical, not multiword expression
Osmanthus heterophyllus, not metaphorical, multiword expression
Kiku-shidare-zakura, metaphorical, multiword expression
Scilla mischtschenkoana, not metaphorical, multiword expression
Lithops lesliei var. albinica, not metaphorical, multiword expression
Styrax japonicas, not metaphorical, multiword expression
Passion, metaphorical, not multiword expression
Argyranthemum frutescens, not metaphorical, multiword expression
Strathmore, not metaphorical, not multiword expression
Beach pine, not metaphorical, multiword expression
Frühlingsmorgen, metaphorical, multiword expression
Chequers, metaphorical, not multiword expression
Daphne arbuscular, not metaphorical, multiword expression
Euphorbia mellifera, not metaphorical, multiword expression
Rose cactus, not metaphorical, multiword expression
Brise d’anjou, not metaphorical, multiword expression
Green woodpecker, metaphorical, multiword expression
Ryecroft Gem, metaphorical, multiword expression
Rhodanthe, not metaphorical, not multiword expression
Mauvette, not metaphorical, not multiword expression
Calanthe vestita, not metaphorical, multiword expression
Phyllodoce empetriformis, not metaphorical, multiword expression
Fallopia, not metaphorical, not multiword expression
Oxalis perdicaria, metaphorical, multiword expression
Neglecta, metaphorical, not multiword expression
Hypericum, not metaphorical, not multiword expression
Penstemon hirsutus var. Pygmaeus, not metaphorical, multiword expression
Brodiaea, not metaphorical, not multiword expression
Kermesina, not metaphorical, not multiword expression
Magic Orb, not metaphorical, multiword expression
Rosa mundi, not metaphorical, multiword expression
Tanacetum argenteum, metaphorical, multiword expression
Lalandei, not metaphorical, not multiword expression
Buterﬂy agave, metaphorical, multiword expression
Catananche caerulea, not metaphorical, multiword expression
Dwarf white-stripe bamboo, not metaphorical, multiword expression
Yellow Hammer, metaphorical, multiword expression
Skogholm, not metaphorical, not multiword expression
Yucca, not metaphorical, not multiword expression
Crimson Spire, metaphorical, multiword expression
Viburnum farreri, not metaphorical, multiword expression
Korstesgli, not metaphorical, not multiword expression
Pinkie, metaphorical, not multiword expression
Spectabilis, not metaphorical, not multiword expression
Glottiphyllum nelii, not metaphorical, multiword expression
Asteraceae, not metaphorical, not multiword expression
Microbiota decussata, not metaphorical, multiword expression
Rudolph Roehrs, not metaphorical, multiword expression
Hot Lips, metaphorical, multiword expression
Orange King, metaphorical, multiword expression
Garnettii, not metaphorical, not multiword expression
Erythroneura, not metaphorical, not multiword expression
Yellow ox-eye, not metaphorical, multiword expression
Professor Anton Kippenberg, not metaphorical, multiword expression
Lemon Bells, metaphorical, multiword expression
Blechnum penna-marina, not metaphorical, multiword expression
Strawberries and Cream, metaphorical, multiword expression
Iris, metaphorical, not multiword expression
Chamaecyparis lawsoniana, not metaphorical, multiword expression
Eucalyptus pauciflora subsp. niphophila, not metaphorical, multiword expression
Echinacea purpurea, not metaphorical, multiword expression
Maculatus, not metaphorical, not multiword expression
Velvet Eyes, metaphorical, multiword expression
Chelidonium majus, metaphorical, multiword expression
S. meyeri, not metaphorical, multiword expression
Firecrest, metaphorical, not multiword expression
Allgold broom, metaphorical, multiword expression
Pacbla, not metaphorical , not multiword expression
Berberis empetrifolia, not metaphorical, multiword expression
Pachystachys lutea, not metaphorical, multiword expression
Azureum, not metaphorical, not multiword expression
Rhodanthemum hosmariense, not metaphorical, multiword expression
Astilbe x crispa, not metaphorical, multiword expression
Corylus maxima, not metaphorical, multiword expression
Waterlily, metaphorical, not multiword expression
Bowl of beauty, metaphorical, multiword expression
Couleur Cardinal, not metaphorical, multiword expression
Centropogon cordifolius, not metaphorical, multiword expression
Gibbaeum velutinum, not metaphorical, multiword expression
Goat’s beard, metaphorical, multiword expression
Platycodon grandiﬂorus, not metaphorical, multiword expression
Marginatam , not metaphorical, multiword expression
Dahlias, not metaphorical, not multiword expression
Edelsten, metaphorical, not multiword expression
Galanthus plicatus subsp. plicatus, not metaphorical, multiword expression
The Beacon, metaphorical, multiword expression
Ruellia devosiana, not metaphorical, multiword expression
Albiflora, not metaphorical, not multiword expression
Ivory prince, metaphorical, multiword expression
Tickled Pink, metaphorical, multiword expression
Oriental plane, metaphorical, multiword expression
Elvira, not metaphorical, not multiword expression
Allium oreophilum, not metaphorical, multiword expression
Balearic boxwood, not metaphorical, multiword expression
Sunbelrichipi, not metaphorical, not multiword expression
Arum creticum, not metaphorical, multiword expression
Drosera, not metaphorical, not multiword expression
Suffruticosa, not metaphorical, not multiword expression
Dryopteris dilatata, not metaphorical, multiword expression
Xerochrysum bracteatum Monstrosum, metaphorical, multiword expression
Aster amellus, not metaphorical, multiword expression
Common stonecrop, not metaphorical, multiword expression
Revolution, metaphorical, not multiword expression
Allium aﬂatunense, not metaphorical, multiword expression
Euonymus hamiltonianus, not metaphorical, multiword expression
Atlanta, not metaphorical, not multiword expression
Alchemilla mollis, not metaphorical, multiword expression
Ceropegia linearis, not metaphorical, multiword expression
Lychnis ﬂos-jovis, not metaphorical, multiword expression
Silver cup, metaphorical, multiword expression
Scharlockii, not metaphorical, not multiword expression
Juniperus conferta, not metaphorical, multiword expression
Alba Plena, metaphorical, multiword expression
S. esserteauana, not metaphorical, multiword expression
Pedunculata, not metaphorical, not multiword expression
Stone pine, metaphorical, multiword expression
Waldsteinia ternate, not metaphorical, multiword expression
Bomarea multiﬂora, not metaphorical, multiword expression
Stachys byzantine, not metaphorical, multiword expression
Kashmir White, metaphorical, multiword expression
Crambe cordifolia, not metaphorical, multiword expression
Heuchera sanguinea, metaphorical, multiword expression
Squawroot, not metaphorical, not multiword expression
Yellow buckeye, metaphorical, multiword expression
Geranium rozanne, not metaphorical, multiword expression
Drosera spatulata, not metaphorical, multiword expression
Sunburst, metaphorical, not multiword expression
Helleborus x ericsmithii, not metaphorical, multiword expression
Escarboucle, not metaphorical, not multiword expression
Ceanothus thyrsiﬂorus var. repens, not metaphorical, multiword expression
Eve price, metaphorical, multiword expression
Epipremnum aureum, metaphorical, multiword expression
Connecticut King, metaphorical, multiword expression
Sophora tetraptera, not metaphorical, multiword expression
Begonia taliensis, not metaphorical, multiword expression
Aesculus ﬂava, not metaphorical, multiword expression
C. reticulate, not metaphorical, multiword expression
Crown imperial, metaphorical, multiword expression
Pixie, not metaphorical, not multiword expression
Caucasian elm, not metaphorical, multiword expression
Hedera colchica, not metaphorical, multiword expression
Saururus cernuus, not metaphorical, multiword expression
Acer negundo, not metaphorical, multiword expression
Hyacinth bean, not metaphorical, multiword expression
Hebe pinguifolia, not metaphorical, multiword expression
Fairy tails, metaphorical, multiword expression
Sclerocactus scheeri, not metaphorical, multiword expression
Betula albosinensis, not metaphorical, multiword expression
Schwefellicht, not metaphorical, not multiword expression
Lady Alice, not metaphorical, multiword expression
Citrina, metaphorical, not multiword expression
Buphthalmum salicifolium, not metaphorical, multiword expression
Red-hot pokers, metaphorical, multiword expression
Golden Spray, metaphorical, multiword expression
C. japonica, not metaphorical, multiword expression
Metrosideros excelsa, metaphorical, multiword expression
David McClintock, not metaphorical, multiword expression
Goldﬁnger, metaphorical, not multiword expression
Hohe Tatra, metaphorical, multiword expression
Ceratostigma plumbaginoides, not metaphorical, multiword expression
Erigeron, not metaphorical, not multiword expression
Petrea volubilis, not metaphorical, multiword expression
Lupinus, not metaphorical, not multiword expression
Rosa Jacqueline Du Pré, not metaphorical, multiword expression
Dreaming yellow, metaphorical, multiword expression
Roscoea cautleyoides, not metaphorical, multiword expression
Mister Fokker, not metaphorical, multiword expression
Vestia foetida, metaphorical, multiword expression
Polyscias guilfoylei, not metaphorical, multiword expression
Langleyensis, not metaphorical, not multiword expression
Heaven scent, metaphorical, multiword expression
Polygala x dalmaisiana, not metaphorical, multiword expression
Forsythia, not metaphorical, not multiword expression
Handsworthensis, not metaphorical, not multiword expression
Rockspray, metaphorical, not multiword expression
Asplenium trichomanes, not metaphorical, multiword expression
Euonymus japonicas, not metaphorical, multiword expression
Lysimachia punctata, not metaphorical, multiword expression
Silene schafta, not metaphorical, multiword expression
Blaauw’s Pink, not metaphorical, multiword expression
Prunus pendula, metaphorical, multiword expression
Paeonia delavayi, not metaphorical, multiword expression
Chinese rhubarb, not metaphorical, multiword expression
Frithia pulchra, not metaphorical, multiword expression
Toothwort, metaphorical, not multiword expression
Coloratus, metaphorical, not multiword expression
Pyramidata, not metaphorical, not multiword expression
Iberis umbellata Fairy Series, not metaphorical, multiword expression
Olearia x scilloniensis, not metaphorical, multiword expression
Arizona ash, metaphorical, multiword expression
Antirrhinum Luminaire Series, not metaphorical, multiword expression
Limonium latifolium, not metaphorical, multiword expression
Illawarra ﬂame tree, metaphorical, multiword expression
Mountain holly, metaphorical, multiword expression
Journey’s End, metaphorical, multiword expression
Vossii, metaphorical, not multiword expression
La Foux, metaphorical, multiword expression
Maigold, metaphorical, not multiword expression
Amelanchier lamarckii, not metaphorical, multiword expression
Telopea speciosissima, not metaphorical, multiword expression
Libertia ixioides, not metaphorical, multiword expression
Wisley Pearl, metaphorical, multiword expression
Philadelphus delavayi f. melanocalyx, not metaphorical, multiword expression
Wandering Jew, metaphorical, multiword expression
Dark Warrior, metaphorical, multiword expression
Bredon, not metaphorical, not multiword expression
Bellis perennis, not metaphorical, multiword expression
Erysimum cheiri Series, not metaphorical, multiword expression
Palmatum, not metaphorical, not multiword expression
Mountain gum, metaphorical, multiword expression
Paper reed, metaphorical, multiword expression
Water plantain, not metaphorical, multiword expression
Lavandula angustifolia, not metaphorical, multiword expression
Jamaica Primrose, metaphorical, multiword expression
Stewartia pseudocamellia, not metaphorical, multiword expression
Edraianthus serpyllifolius, not metaphorical, multiword expression
Lewisia Cotyledon Hybrids, not metaphorical, multiword expression
Pragense, not metaphorical, not multiword expression
Carex oshimensis, not metaphorical, multiword expression
Tradescantia zebrine, metaphorical, multiword expression
Convolvulus cneorum, not metaphorical, multiword expression
Calathea makoyana, not metaphorical, multiword expression
Saxifraga sancta, not metaphorical, multiword expression
Trollius, not metaphorical, not multiword expression
Globemaster, metaphorical, not multiword expression
Beatrix Farrand, not metaphorical, multiword expression
Spiraea nipponica, not metaphorical, multiword expression
Marsh marigold, metaphorical, multiword expression
Polianthes tuberosa, not metaphorical, multiword expression
Viburnum x juddii, not metaphorical, multiword expression
Alopecurus pratensis, not metaphorical, multiword expression
Serotina, not metaphorical, not multiword expression
Cherry berry, not metaphorical, multiword expression
Naughty Marietta, metaphorical, multiword expression
Plumeria rubra, not metaphorical, multiword expression
Eryngium x tripartitum, not metaphorical, multiword expression
Zinnia x marylandica Zahara Series, not metaphorical, multiword expression
Black cherry, not metaphorical, multiword expression
Peonies, not metaphorical, not multiword expression
Watermelon begonia, not metaphorical, multiword expression
Jaspidea, not metaphorical, not multiword expression
Passionale, metaphorical, not multiword expression
Tree poppy, metaphorical, multiword expression
Plantago nivalis, not metaphorical, multiword expression
Hilleri, not metaphorical, not multiword expression
White mugwort, metaphorical, multiword expression
Carnaval de Nice, metaphorical, multiword expression
Colombien, not metaphorical, not multiword expression
Peppermint Spice, metaphorical, multiword expression
Scilla siberica, not metaphorical, multiword expression
Crataegus laevigata, not metaphorical, multiword expression
Quercus canariensis, not metaphorical, multiword expression
Eryngium alpinum, not metaphorical, multiword expression
Lachskönigin, not metaphorical, not multiword expression
Eryngium pandanifolium, metaphorical, multiword expression
Phlox, not metaphorical, not multiword expression
Albuca, not metaphorical, not multiword expression
